Title;Publication date;Journal;Authors;URL;DOI;Method name;Programming language;Category;Strategy;ST counts;ST pp;ST coordinates;ST coordinates integration;Reference-based / Reference-free;Reference;Reference pp;Image;Image integration;Main output;ST distribution;SC distribution;Batch/platform correction;Downstream analysis;Other;Type;Datasets;Benchmark;Metrics;Code;Tutorials;State;Remarks;Harmonization;;;;
AntiSplodge: a neural-network-based RNA-profile deconvolution pipeline designed for spatial transcriptomics;October-22;NAR Genomics & Bioinformatics;Jesper B Lund, Eric L Lindberg, Henrike Maatz, Fabian Pottbaecker, Norbert Hübner and Christoph Lippert;https://academic.oup.com/nargab/article/4/4/lqac073/6754832;10.1093/nargab/lqac073;AntiSplodge;Python;Deep learning;First builds pseudo ST data from scRNA-seq with multinomial sampling strategy. Then, pseudo ST are divided in train/test and the NN (multilayer perceptron topology) is trained (L1 loss). Real ST data are then passed to the NN to make the prediction. Smooth ReLu activator and linear scaling are applied at the end of the model to give proportions.;Yes;They recommend doing data QC and normalization, especially keeping profiles of each set on the same scale (e.g. scale both sets to profiles with total gene counts of 1).;No;-;Reference-based;Gene signature (built-in from scRNA-seq), scRNA-seq dataset;Find marker genes with logistic regression with statistical testing (One vs All, ranked by Zscore) and safety check by assessing power of seleced genes with XGBClassifier, sampling of SC using multinomial distribution to simulate pseudo ST. They recommend doing data QC and normalization, especially keeping profiles of each set on the same scale (e.g. scale both sets to profiles with total gene counts of 1).;No;-;Proportions;-;-;-;-;"Cell density range as input
Hyperparamaters, number of markers genes, number of profiles highly datasets dependant, and can be adjusted as well as Loss fumction and other training parameters. ";Real data, Semi-synthetic from SC;Human developmental heart (Visium), Mouse Brain sagital and coronal sections (Visium);SPOTlight, Cell2location, DSTG, RF model;JSD;https://github.com/HealthML/AntiSplodge/;https://github.com/HealthML/AntiSplodge_Turorial;Done.(Lucie);;HARMONISED;;;;
SpatialCTD: a large-scale TME spatial transcriptomic dataset to evaluate cell type deconvolution for immuno-oncology;April-23;bioRxiv;Jiayuan Ding, Julian Venegas, Qiaolin Lu, Yixin Wang, Lidan Wu, Wei Jin, Hongzhi Wen, Renming Liu, Wenzhuo Tang, Zhaoheng Li, Wangyang Zuo, Yi Chang, Yu Leo Lei,  View ORCID ProfilePatrick Danaher, Yuying Xie and Jiliang Tang;https://www.biorxiv.org/content/10.1101/2023.04.11.536333v1;10.1101/2023.04.11.536333;GNNDeconvolver;Python;Deep learning;Builds a linked graph that connects labeled (from pseudo ST) and unlabeled spots as well as a graph for each sample based on spatial location. Then, connexions are established on the differents graphs based on gene expression similarity. GNN is applied to the graph to make the prediction. ;Yes;-;Yes;Spatial graph, Adjacency matrix;Reference-based;ST dataset;ST data at SC resolution are built as pseudo spot after annotation of the cells in the ST dataset. Aggregation is sum of count.;No;-;Proportions;-;-;-;-;"Interesting: provide a reference datasets as other type of spatial data (CosMX) at SC resolution

Limited reference datasets for lung liver and kidney so need to generate/find other data from your tissue (see scenarios)";Real data, Semi-synthetic from ST;Human lung (CosMx), Human liver (CosMx), Human kidney (CosMx);SpatialDecon, NNLS, CARD, Cell2location, Tangram, stereoscope, RCTD;AS, MSE, MAE, PCC;https://github.com/OmicsML/SpatialCTD;On github;Done.(Lucie);;HARMONISED;;;;
Deciphering tumor ecosystems at super resolution from spatial transcriptomics with TESLA;May-23;Cell Systems;Hu J, Coleman K, Zhang D, Lee EB, Kadara H, Wang L and Li M.;https://www.sciencedirect.com/science/article/pii/S2405471223000844?via%3Dihub;10.1016/j.cels.2023.03.008;TESLA;Python;Deep learning;Generates superpixels within the image and impute superpixel gene expression by weighted aggregation of the spot-level gene expression in neighbors spots. Then, they apply CNN on stacked meta gene images and histology image to segment tissue regions. Tumor region/cell-type distribution can be displayed on the histology image based on the segmentation results.;Yes;Normalization by library size and multiply by scaling factor and natural log scale. ;Yes;Weighted aggregation, 10-NN based on Euclidian distance;Reference-free;List of marker genes;-;Yes;Superpixel generation of size 50x50(default), aggregation of expression of neighboring spots and go through CNN;Super-pixel gene expression;-;-;-;Super resolution gene expression, Spatial gene enrichment, co-localization;SUper-resolution like Xfuse. ;Real data;Human breast cancer (Visium), Human squamous cell carcinoma (Visium), Human melanoma (ST), Human melanoma (Visium), Mouse Brain sagittal slide (Visium), Mouse kidney (Visium), Human clear cell renal carcinoma (Visium);RCTD, BayesSpace;PCC, AUC;https://github.com/jianhuupenn/TESLA;On github;Done.(Lucie);Not really a deconvolution method: perform gene imputation at pixel level by integrating image and gene expression and then visualize cell-type specific markers genes as cell-types' distribution;HARMONISED;;;;
Celloscope: a probabilistic model for marker-gene-driven cell type deconvolution in spatial transcriptomics data;May-23;Genome Biology;Agnieszka Geras, Shadi Darvish Shafighi, Kacper Domżał, Igor Filipiuk, Alicja Rączkowska, Paulina Szymczak, Hosein Toosi, Leszek Kaczmarek, Łukasz Koperski, Jens Lagergren, Dominika Nowis and Ewa Szczurek;https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02951-8;10.1186/s13059-023-02951-8;Celloscope;R;Bayesian;Prior knowledge of marker genes for considered cell types is encoded in binary matrix and image segmentation is performed. Inference of the parameter model is done with MCMC (Metropolis-within-Gibbs sampler).;Yes;-;No;-;Reference-free;List of marker genes;-;Yes;Segmentation to give prior to model and eventually domains;Proportions ;NB;-;-;-;"Possibility to have a dummy type (potential new cell type)

Semi-automatic selection of marker genes independant from SC data (see paper for more details). ";Real data, Semi-synthetic from SC;Mouse Brain sagittal slide (Visium) Mouse Brain coronal slide (Visium), human prostate cancer (ST), ;stereoscope, RCTD, SpatialDWLS, CellAssign;Average Error, Fraction of correctly indicated dominant cell type, PCC;https://github.com/szczurek-lab/Celloscope;On github;Done.(Lucie);;HARMONISED;;;;
Flexible Analysis of Spatial Transcriptomics Data (FAST): A Deconvolution Approach;May-23;bioRxiv;Meng Zhang, Yiwen Liu, Joel Parker, Lingling An and Xiaoxiao Sun;https://www.biorxiv.org/content/10.1101/2023.05.26.542550v1;10.1101/2023.05.26.542550;FAST;R;Matrix factorization;FAST is based on NMF and introduces two penalization terms: one that takes into account histology and spatial coordinates, and the other one is a sum constraint to 1 for proportions. The penalization is based on adjacency matrix which is built from spots and images. ;Yes;Selection of HVG;Yes;Adjacency matrix, Graph laplacian matrix;Reference-free;-;-;Yes;Compute euclidian distance of histology images by measuring the difference in median internsities over sub-regions in grey scale. Sub-regions can be tailored by users (here they use 5-by-5 squre and 25 spots). ;Proportions;-;-;-;Functional enrichment, Region-specific cell-type enrichment;Im not convinced by their image integration;Real data, Semi-synthetic from SC;Mouse olfactory bulb (ST), Human breast cancer (ST), Mouse Brain coronal slide (Visium);STdeconvolve, CARD;PCC, RMSE;https://github.com/shawnstat/FAST;On github;Done.(Lucie);;HARMONISED;;;;
Spatial Transcriptomic Cell-type Deconvolution Using Graph Neural Networks;June-23;bioRxiv;Yawei Li and Yuan Luo;https://www.biorxiv.org/content/10.1101/2023.03.10.532112v2;10.1101/2023.03.10.532112;STdGCN;Python;Deep learning;First identifies marker genes and generates pseudo-spot from SC. Then they build two link graphs to establish the GCN (expression graph and spatial graph). Expression graph is composed of three subgraphs: pseudo-spot graph, real spot graph and real-to-pseudo graph. Expression GCN layers and spatial GCN layers are then concatenated and fed to fully connected NN to make the prediction. ;Yes;Input can be raw or normalized count depending the user's choice. ;Yes;Spatial graph based on Euclidian distance;Reference-based;Gene signature (built-in from scRNA-seq), scRNA-seq dataset;Annotated SC data. DEG analysis and filter genes based on threshold for identifying marker genes for each cell type in SC. Counts can be normalized or not. ;No;-;Proportions ;-;-;-;Co-localization;Lots of parameters can be adjusted by the user (graph links, DEG, ...);Real data, Semi-synthetic from ST;Breast cancer (Visium), Human developmental heart (Visium);stereoscope, RCTD, SpatialDWLS, SPOTlight, Cell2location, DSTG, CellDART, DestVI, STdeconvolve, STRIDE, Tangram, BayesPrism, AdROit, SpatialDecon;RMSE, JSD;https://github.com/luoyuanlab/stdgcn;On github;Done.(Lucie);;HARMONISED;;;;
BayesTME: An end-to-end method for multiscale spatial transcriptional profiling of the tissue microenvironment;July-23;Cell Systems;Haoran Zhang, Miranda V Hunter, Jacqueline Chou, Jeffrey F Quinn, Mingyuan Zhou, Richard M White and Wesley Tansey;https://www.sciencedirect.com/science/article/pii/S2405471223001564?via%3Dihub;10.1016/j.cels.2023.06.003;BayesTME;Python;Bayesian;Estimates the cell number for each cell type by a graph fused binomial tree model. Briefly, the model introduces a hierarchical prior encoding the number of cell in spot and the number of cell per cell type per spot by binomial distribution, and the spatial smoothing with GroupHorsehoe distribution. From this prior and specified model, they use Gibbs sampling (MCMC algorithm) to infer proportions. Number of cell types is fixed by M-fold cross validation procedure (maximum likelihood). Also, they recently introduced stochastic variational inference (SVI) for inference.;Yes;Selection of top 2000 genes ordered by spatial variation in log space. filter out ribosomal genes. Work directly on UMI counts after filtering;Yes;Spatial smoothing hyperparameter, ;Both;Gene signature (built-in from scRNA-seq);"Pre-specification of cell type profiles (mean expression of the SC reference profile)

";No;-;Counts, Probabilities;Poisson;-;-;Spot bleeding correction, deconvolution, tissue segmentation, spatial gene expression, spatial programs;"Complex model
Can infer number of cell type through cross validation and consider top20 genes of each cell type as marker genes for interpretation";Real data, Semi-synthetic from SC and ST;Human DLPFC (Visium), Zebrafish melanoma (Visium), Human melanoma (Visium), ;Cell2location, SpatialDWLS, RCTD, STRIDE, stereoscope, Tangram, DestVI, Seurat, SPOTlight, DSTG, SpaOTsc, NovoSparc;PCC, SSIM, RMSE, JSD;https://github.com/tansey-lab/bayestme;https://bayestme.readthedocs.io/en/latest/;Done.(Lucie);;HARMONISED;;;;
SPADE: Spatial Deconvolution for Domain Specific Cell-type Estimation;April-24;Communications Biology;Yingying Lu, Qin M. Chen and Lingling An;https://www.nature.com/articles/s42003-024-06172-y;10.1038/s42003-024-06172-y;SPADE;R;Regression;First uses spaGCN to detect spatial domains. Then, the number of cell type for each domain is built with Lasso -regularized generalized regression and adaptative thresholding for binarization. Concomitantly, cell-type specific profiles (by DEG selection) are built to guide deconvolution process. Cell type proportions are infered by minimizing the difference between estimated and true spatial gene expression with absolute deviation loss function and augmented lagrange minimization algorithm.;Yes;Identification of cell-type in domain by lasso regularized generalized linear model;Yes;Spatial clustering with SpaGCN;Reference-based;Gene signature (built-in from scRNA-seq);"Classic workflow Seurat for QC. Then takes from MuSiC algorithm: filter out genes and some cells. Detection of DEG with FindAllMarkers
Identification of cell-type in domain by lasso regularized generalized linear model";Yes;Spatial clustering with SpaGCN integrates image;Proportions;-;-;-;Temporal analysis of cell-type composition, Region-specific cell-type enrichment;It is not clear if the number of cell types in each domain is well done after reference cell type profiles building.;Real data, Semi-synthetic from SC;Mouse oflactory bulb (ST), Mouse kidney (ST), Chicken developmental heart (Visium), Human Breast cancer (Visium), Mouse visual cortex (Visium);CARD, SPOTlight, RCTD, SpatialDWLS, SpatialDecon;True and False positive rate, mAD, RMSE, R, RMSD;https://github.com/anlingUA/SPADE;https://anlingua.github.io/SPADE/Intro_to_SPADE.html;Done.(Lucie);;HARMONISED;;;;
spSeudoMap: cell type mapping of spatial transcriptomics using unmatched single-cell RNA-seq data;March-23;Genome Medicine;Sungwoo Bae, Hongyoon Choi and Dong Soo Lee;https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-023-01168-5;10.1186/s13073-023-01168-5;spSeudoMap;Python;Deep learning;"Performs random sampling of cell-types in scRNA-seq to build sub-pseudo spot. For each sub-pseudo spot, the composite gene expression is computed based on marker genes. Then, cell types in spatial data (and absent in SC) are aggregated into a category called ""pseudotypes"" which marker genes are extracted by pseudobulk analysis. The top 20 genes are used as predictor of the pseudotype fraction. Scaled module score of the pseudotype markers is considered as pseudotype fraction. Finally, sub-pseudospot and pseudotypes are aggregated with some weights and adjustment and serve as reference for input for CellDART. ";Yes;"Building ""pseudotypes"" = cell types in spatial but not in SC data and find signature by pseudobulk analysis between SC and ST. Top 20 genes constitutes predictors of the pseudotype fraction.

";No;-;Reference-based;scRNA-seq dataset;Annotated scRNA-seq. Random sampling of cell-types in SC to built sub-pseudospot. Selection of top markers for each cell-type present in spatial data (target types) and filter out for intersection with spatial. ;No;-;Proportions ;-;-;Platform effect;Region-specific cell-type enrichment;"Method relies mostly on CellDART algorithm with reference building adaptation

Seems to be built specifically for sorted SC or enriched SC data";Real data;Human DLPFC (Visium), Mouse Brain coronal section (Visium), Human breast cancer (Visium);CARD, CellDART, Cell2location, DSTG, RCTD, SPOTlight;ROC AUC;https://github.com/bsungwoo/spSeudoMap;On github;Done.(Lucie);;HARMONISED;;;;
SONAR enables cell type deconvolution with spatially weighted Poisson-Gamma model for spatial transcriptomics;August-23;Nature Communications;Zhiyuan Liu, Dafei Wu, Weiwei Zhai and Liang Ma;https://www.nature.com/articles/s41467-023-40458-9;10.1038/s41467-023-40458-9;SONAR;R/MATLAB;Regression;Implements a geographically weighted multivariate poisson-gamma regression model. In the SONAR model, gene expression follows a poisson-gamma distribution at each location and uses a kernel regression methodology to calibrate local parameters. Paramaters are infered with Interior Point algorithm to find the MLE. ;Yes;Pre-clustering with Louvain alg. implemented in Seurat to adjust spatial kernel weights for spots neighbors in different clusters. Also implement elastic weighting strategy to adjust the kernel weigths for expression similarity.;Yes;Weighted kernel function decaying with distance;Reference-based;Gene signature (built-in from scRNA-seq);Annotated scRNAseq. Normalization by library size and aggregation by mean expression. Selection of gene with avg expression >0.02% and at least 0,75 log fold changes compared to the average expression across all CT. Raw cell type signature is then corrected for platform effect between spatial and SC. ;No;-;Proportions ;Poisson-gamma mixture distribution;-;Platform effect;Co-localization, Co-localization score;-;Real data, Semi-synthetic from SC and ST;Mouse visual cortex (STARmap), Human developmental heart (ISS), Mouse hippocampus (Slide-seq), Human developmental heart (Visium), Pancreatic ductal adenocarcinoma (ST), Human hepatocarcinoma(Visium);SD2, stereoscope, SPOTlight, Cell2location, SpatialDWLS, CARD, RCTD;"JSD, RMSE, Mean Rank
Co-localization score (SCC)";https://github.com/lzygenomics/SONAR;On github;Done.(Lucie);;HARMONISED;;;;
Optimal transport for mapping senescent cells in spatial transcriptomics;August-23;bioRxiv;Nam D. Nguyen, Lorena Rosas, Timur Khaliullin, Peiran Jiang, Euxhen Hasanaj, Jose A. Ovando, Marta Bueno, Melanie Konigshoff, Oliver Eickelberg, Mauricio Rojas, Ana L. Mora, Jose Lugo-Martinez and Ziv Bar-Joseph;https://www.biorxiv.org/content/10.1101/2023.08.16.553591v1;10.1101/2023.08.16.553591;scDOT;Python;Optimal transport;"For deconvolution only, the problem is formulated as a NNLS problem so it uses project gradient descent to solve the regression. 
For scRNA-seq mapping, it uses OT. The cost matrix is defined as the cost of moving gene expression from cell to spot using cosine distance. Coupling matrice is solved  by minimizing the entropic regularization term. This version results in a probabilistic mapping between cells and spots. Both deconvolution and mapping are solved simultaneously as two inner optimization problems. ";Yes;Removing lowly expressed genes, keeping genes that have at least 10 counts, removing cells with low counts, keeping cells that have at least 500 counts and 500 genes expressed, intersection of the two gene sets.;Yes;KNN graph ;Reference-based;Gene signature (built-in from scRNA-seq);Removing lowly expressed genes, keeping genes that have at least 10 counts, removing cells with low counts, keeping cells that have at least 500 counts and 500 genes expressed, intersection of the two gene sets.;No;-;Mapping, Proportions;-;-;Platform effect;Cell-cell neighborhood graph, Cell-cell communication;"They talk about reference signature but can't find any detail about it (?)

it is weird that they don't talk about distribution while it is an OT algorithm ?

Plateform effect (cosine distance is scale invariant)";Real data, Semi-synthetic from SC and ST;Mouse preoptic area (MERFISH), Idiopathic pulmonary fibrosis data (Visium);DestVI, Tangram, Novosparc;RMSE;https://github.com/namtk/scDOT;On github;Done.(Lucie);??? But some reserves regarding its inclusion because algorithm is not clear.;HARMONISED;;;;
SpatialPrompt: spatially aware scalable and accurate tool for spot deconvolution and clustering in spatial transcriptomics;May-24;Communications Biology;Asish Kumar Swain, Vrushali Pandit, Jyoti Sharma and Pankaj Yadav;https://www.nature.com/articles/s42003-024-06349-5;10.1038/s42003-024-06349-5;SpatialPrompt;Python;Regression;First simulates spots following three scenari from scRNA-seq data. Then, it incorporates microenvironment information into the spatial matrix by calculating weighted mean expression for each spatial spots considering its neighbors. The spatial and weighted mean spatial matrix are concatenated column-wise. Non-negative ridge regression is then used to predict the local weighted mean expression of the simulated data from the two previous matrices. The simulated WME and simulated data are concatenated and used to train a KNN regressor to find the K most related simulated spots in the kernel with least Minkowski distance. The KNN regressor is finally used to make the cell type predictions.;Yes;"low quality spots and gene were removed
Selection of top 1000 HVG + selection of common with SC
Count per million normalization";Yes;Weighted mean expression with neighbors spots;Reference-based;scRNA-seq dataset;Low quality spots and gene were removed. Standard pipeline with scanpy for annotation. Selection of top 1000 HVG + selection of common in ST. Count per million normalization. Perform spatial simulation from SC by following three scenarios: spots with one major cell type (core spots), spots with 2-3 main cell types (border) and then ramdom assignation.;No;-;Proportions ;-;-;-;Clustering;-;Real data;Human DLPFC (Visium), Mouse Brain coronal slide (Visium) Mouse Brain cortex (Visium), Mouse Brain hippocampus (Visium), Mouse hippocampus (Slide-seq), Mouse kidney (slide-seq), Mouse cortex (STARmap);CARD, Cell2location, Tangram, SPOTlight, GraphST, SONAR, RCTD;ROC AUC, MSE, PCC;https://github.com/swainasish/SpatialPrompt;On github;Done.(Lucie);;HARMONISED;;;;
MUSTANG: MUlti-sample Spatial Transcriptomics data ANalysis with cross-sample transcriptional similarity Guidance;May-24;Patterns;Seyednami Niyakan, Jianting Sheng, Yuliang Cao, Xiang Zhang, Zhan Xu, Ling Wu, Stephen T.C. Wong and Xiaoning Qian;https://www.cell.com/patterns/fulltext/S2666-3899(24)00101-6;10.1016/j.patter.2024.100986;MUSTANG;Python/R;Bayesian;First builds spot transcriptional adjacency matrix across samples by performing batch correction (Harmony), KNN detection with weighted edges based on PC scores and Louvain clustering. Secondly, a spot spatial adjacency is computed based on coordinates. Thirdly, the overall spot similarity graph is constructed by comparing both previous matrices with OR operation. In the last step, MUSTANG implements BayesTME Bayesian framework for deconvolution with a slight modification to take into account the spot similarity matrix in the hierarchical prior (GroupedHorseshoe distribution). ;Yes;"identification of common gene across ST samples. Then concatene the matrix and applies normalization, feature selection and dimension reduction (PCA). Integration with Harmony and batch-corrected PC are used to build KNN graph.
But input is raw counts in the devconvolution";Yes;Adjacency matrix;Both;Gene signature (built-in from scRNA-seq);-;No;-;Proportions ;Poisson;-;Batch effect;Cell-type level gene expressions, multi-sample integration, Functional enrichment;BayesTME implementation modified;Real data, Semi-synthetic from ST;Mouse Brain sagittal slide (Visium), Human DLPFC (Visium), Mouse bone marrow (Visium);BayesTME, STDeconvolve, Cell2location, RCTD;PCC, SSIM, RMSE, JSD, AS;https://github.com/namini94/MUSTANG;On github;Done.(Lucie);;HARMONISED;;;;
GTAD: a graph-based approach for cell spatial composition inference from integrated scRNA-seq and ST-seq data;December-23;Briefings in Bioinformatics;Tianjiao Zhang, Ziheng Zhang, Liangyu Li, Benzhi Dong, Guohua Wang and Dandan Zhang;https://academic.oup.com/bib/article/25/1/bbad469/7484598;10.1093/bib/bbad469;GTAD;Python/R;Deep learning;From scRNA-seq data, GTAD builds pseudospots. Then, after performing PCA on both pseudo and real ST data, similarity scores are computed within each datasets. GAT relies on Seurat's Integrate data framework (CCA+MNN to identify anchor spots) to create an integrated datasets between pseudo and real ST. A weighted graph/adjacency matrix is constructed with random projection forest. Finally, the graph is input in a graph attention network to perform deconvolution. ;Yes;"Subset matrix with only DEG in SC. 
Dimension reduction with PCA";No;-;Reference-based;scRNA-seq dataset;"Total count normalization and DEG analysis with wilcoxon rank-sum test. 
Subset matrix with only DEG in SC. 
Generation of pseudo-spot ST";No;-;Proportions;-;-;Batch effect;-;-;Real data, Semi-synthetic from SC;Mouse Brain sagittal slide (Visium), Mouse Brain anterior slide (Visium), Mouse cerebellum (Slide-seq), Human developmental heart (Visium), Pancreatic ductal adenocarcinoma (Visium);CellDART, STRIDE, DSTG, RCTD, SPOTlight;JSD;https://github.com/zzhjs/GTAD;On github;Done.(Lucie);;HARMONISED;;;;
EnDecon: cell type deconvolution of spatially resolved transcriptomics data via ensemble learning;January-23;Bioinformatics (Oxford, England);Jia-Juan Tu, Hui-Sheng Li, Hong Yan and Xiao-Fei Zhang;https://academic.oup.com/bioinformatics/article/39/1/btac825/6957087;10.1093/bioinformatics/btac825;EnDecon;R;Consensus algorithm;EnDecon is a consensus algorithm that uses 14 methods and then establishes a consensus prediction by weighted median of the methods' results and assigning a weight to each method. ;Yes;PP of each individual methods;Yes;Depending on method;Reference-based;Depending on method;PP of each individual methods;No ;-;Proportions;Depending on method;Depending on method;Depending on method;-;This is a consensus algorithm so only aggregation method is new and interesting. ;Real data, Semi-synthetic from SC and ST;Pancreatic ductal adenocarcinoma (VST), Human breast cancer (ST), Mouse Brain cortex (Visium);CARD, Cell2location, DEconRNAseq, DestVI, DWLS, MuSiC, RCTD, SCDC, SpatialDWLS, SPOTlight, STdeconvolve, stereoscope, SVR;PCC, RMSE, JSD;https://github.com/Zhangxf-ccnu/EnDecon;On github;Done.(Lucie);;HARMONISED;;;;
